Danceability,Energy,Valence,Acousticness,Instrumentalness,Speechiness,Tempo
0.7378774107736643,0.7668417202394147,0.7506453114608735,0.12677709195300382,0.007993817069385845,0.06961225892263356,114.43330614054534
0.6941471197679238,0.5656726067136345,0.6938334024036469,0.5187475756319934,0.007950215897223445,0.06402138416908412,110.06841442188147
0.5388374146928944,0.7857852268165395,0.6076673625050181,0.13587781711360902,0.009978870357286292,0.09878996386993175,163.76512284223205
0.31361357615894037,0.14203210264900662,0.15430031456953647,0.9015528145695364,0.8521804635761591,0.045412251655629135,104.81653973509934
0.7388044554455445,0.6502450495049505,0.5438598514851485,0.21957047178217823,0.002439356955445636,0.31100396039603956,118.84653267326733
0.4909281437125748,0.4740155688622754,0.3519848303393214,0.48560049075182965,0.010880942694610783,0.05130026613439788,151.6424224883566
0.5845100386100386,0.7163841698841699,0.45523893822393824,0.1707954525289575,0.7122258687258688,0.06433861003861005,124.55133397683397
0.5963807266982623,0.6985323854660348,0.34902993680884675,0.10783933503686152,0.011478177767245891,0.06298359662980518,108.43186624539231
0.49506474820143886,0.33291613327338127,0.30552289568345337,0.7324767392745803,0.021813433513189442,0.04480911270983215,97.80247002398083
0.6363154362416107,0.4837651006711409,0.5497120805369128,0.4620140939597316,0.0005028771140939206,0.8417919463087248,108.63955704697987
