Danceability,Energy,Valence,Acousticness,Instrumentalness,Speechiness,Tempo
0.7393241965973535,0.7720274102079395,0.7682355860113421,0.13141395252835544,0.00790930591209816,0.07501427221172023,113.30895392249528
0.6883966866083755,0.569043718361712,0.714752416014726,0.5463890013805799,0.008403743575701873,0.06434569719282099,111.90674137137597
0.7357343318880568,0.6120212849822625,0.3822182893180922,0.15420409917225067,0.007748516893969264,0.0868297595585337,111.06140086716594
0.31358115702479344,0.14235436363636367,0.1542684132231405,0.9014080991735536,0.8514561983471075,0.04539669421487603,104.79499338842976
0.7143198529411765,0.6251127450980393,0.55161875,0.2609862175245098,0.0019645357904412644,0.3885912990196078,118.33992892156863
0.47925457102672286,0.47649852320675107,0.3404529535864979,0.4683142881153305,0.010751779156118198,0.04941350210970463,152.21382137834036
0.5850968503937009,0.7149606299212599,0.45885368110236224,0.17360024726377954,0.7183681102362206,0.06401555118110236,124.53411023622047
0.5033234126984127,0.7773261904761904,0.373225,0.08051818732142854,0.014830624738095308,0.0626559126984127,111.77576825396825
0.4991863029599536,0.3378163727800348,0.3077455542658155,0.7278822989611144,0.020830749036564178,0.044604120719675,98.05140046430644
0.5595118381403358,0.7750619888075765,0.6424366336633663,0.15132763222126563,0.009372598631080593,0.10474063710718898,165.89820318553595
